Distinct y {np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7)}
Sample X (1, 54)
Sample y [2 2 2]
Loss in batch 400 is 1.094172716140747
Loss in batch 401 is 1.0212289094924927
Loss in batch 402 is 0.7335728406906128
Loss in batch 403 is 0.8181483149528503
Loss in batch 404 is 1.1343895196914673
Loss in batch 405 is 1.1634570360183716
Loss in batch 406 is 1.213503122329712
Loss in batch 407 is 1.1876548528671265
Loss in batch 408 is 0.9265956878662109
Loss in batch 409 is 1.1958013772964478
Loss in batch 410 is 1.1812719106674194
Loss in batch 411 is 1.2666692733764648
Loss in batch 412 is 1.1602051258087158
Loss in batch 413 is 1.441582441329956
Loss in batch 414 is 0.8412584066390991
Loss in batch 415 is 0.9901258945465088
Loss in batch 416 is 1.7920433282852173
Loss in batch 417 is 1.4047621488571167
Loss in batch 418 is 1.06577730178833
Loss in batch 419 is 1.1228110790252686
Loss in batch 420 is 1.1451441049575806
Loss in batch 421 is 1.2875312566757202
Loss in batch 422 is 1.0923207998275757
Loss in batch 423 is 0.9554535150527954
Loss in batch 424 is 0.8119713664054871
Loss in batch 425 is 0.78737872838974
Loss in batch 426 is 0.9516770839691162
Loss in batch 427 is 1.0260851383209229
Loss in batch 428 is 0.9267705082893372
Loss in batch 429 is 1.2090264558792114
Loss in batch 430 is 1.2005929946899414
Loss in batch 431 is 1.1496036052703857
Loss in batch 432 is 1.1162269115447998
Loss in batch 433 is 1.0594302415847778
Loss in batch 434 is 0.9504895806312561
Loss in batch 435 is 1.0753569602966309
Loss in batch 436 is 1.060901403427124
Loss in batch 437 is 1.2317726612091064
Loss in batch 438 is 1.2595826387405396
Loss in batch 439 is 1.1490023136138916
Loss in batch 440 is 1.113911747932434
Loss in batch 441 is 1.0974608659744263
Loss in batch 442 is 1.3805299997329712
Loss in batch 443 is 1.472400426864624
Loss in batch 444 is 1.124343991279602
Loss in batch 445 is 1.162957787513733
Loss in batch 446 is 1.1879944801330566
Loss in batch 447 is 0.9804180860519409
Loss in batch 448 is 0.9059014320373535
Loss in batch 449 is 0.9455745816230774
Loss in batch 450 is 1.3061354160308838
Loss in batch 451 is 1.171834111213684
Loss in batch 452 is 1.229097843170166
Loss in batch 453 is 1.3041733503341675
Loss in batch 454 is 1.3887712955474854
Loss in batch 455 is 1.43117356300354
Loss in batch 456 is 1.0768072605133057
Loss in batch 457 is 0.829027533531189
Loss in batch 458 is 1.1440651416778564
Loss in batch 459 is 1.3067084550857544
Loss in batch 460 is 1.1604316234588623
Loss in batch 461 is 0.961722195148468
Loss in batch 462 is 0.932544469833374
Loss in batch 463 is 0.9221505522727966
Loss in batch 464 is 1.010291576385498
Loss in batch 465 is 0.9422472715377808
Loss in batch 466 is 1.1049935817718506
Loss in batch 467 is 1.090531587600708
Loss in batch 468 is 1.069075107574463
Loss in batch 469 is 1.0926645994186401
Loss in batch 470 is 1.378304123878479
Loss in batch 471 is 1.0772652626037598
Loss in batch 472 is 0.9950946569442749
Loss in batch 473 is 1.218184471130371
Loss in batch 474 is 1.350550651550293
Loss in batch 475 is 1.1003258228302002
Loss in batch 476 is 0.9903488159179688
Loss in batch 477 is 0.969782292842865
Loss in batch 478 is 0.8391237854957581
Loss in batch 479 is 1.0142794847488403
Loss in batch 480 is 0.9689256548881531
Loss in batch 481 is 0.8998512625694275
Loss in batch 482 is 1.1098034381866455
Loss in batch 483 is 1.0664535760879517
Loss in batch 484 is 0.951798141002655
Loss in batch 485 is 1.0024827718734741
Loss in batch 486 is 1.219702959060669
Loss in batch 487 is 1.091975212097168
Loss in batch 488 is 1.1152105331420898
Loss in batch 489 is 1.1905187368392944
Loss in batch 490 is 1.3435043096542358
Loss in batch 491 is 1.0290559530258179
Loss in batch 492 is 1.265568494796753
Loss in batch 493 is 0.9421238899230957
Loss in batch 494 is 1.1141788959503174
Loss in batch 495 is 0.8877719640731812
Loss in batch 496 is 1.1013429164886475
Loss in batch 497 is 0.8817803263664246
Loss in batch 498 is 0.9587180614471436
Loss in batch 499 is 0.863179624080658
Loss in batch 500 is 1.0237523317337036
Loss in batch 501 is 0.9920405745506287
Loss in batch 502 is 1.122078776359558
Loss in batch 503 is 0.9888960719108582
Loss in batch 504 is 1.1801795959472656
Loss in batch 505 is 1.4012070894241333
Loss in batch 506 is 1.004356026649475
Loss in batch 507 is 1.0358690023422241
Loss in batch 508 is 0.9544424414634705
Loss in batch 509 is 1.071349859237671
Loss in batch 510 is 0.9033269286155701
Loss in batch 511 is 1.3631839752197266
Loss in batch 512 is 0.8592329025268555
Loss in batch 513 is 1.2410849332809448
Loss in batch 514 is 1.113183856010437
Loss in batch 515 is 1.2427047491073608
Loss in batch 516 is 0.9117410182952881
Loss in batch 517 is 1.1456016302108765
Loss in batch 518 is 1.0995731353759766
Loss in batch 519 is 0.8996390700340271
Loss in batch 520 is 1.0922960042953491
Loss in batch 521 is 1.1207247972488403
Loss in batch 522 is 1.0318455696105957
Loss in batch 523 is 1.0906420946121216
Loss in batch 524 is 0.7999504804611206
Loss in batch 525 is 1.439395546913147
Loss in batch 526 is 1.2924190759658813
Loss in batch 527 is 1.2553337812423706
Loss in batch 528 is 0.983599841594696
Loss in batch 529 is 0.8539597988128662
Loss in batch 530 is 0.7801194787025452
Loss in batch 531 is 1.1989271640777588
Loss in batch 532 is 0.9870993494987488
Loss in batch 533 is 0.8700677752494812
Loss in batch 534 is 1.0486124753952026
Loss in batch 535 is 1.1394829750061035
Loss in batch 536 is 1.1064999103546143
Loss in batch 537 is 0.9223103523254395
Loss in batch 538 is 1.0239357948303223
Loss in batch 539 is 1.0377198457717896
Loss in batch 540 is 1.0076338052749634
Loss in batch 541 is 0.9926199913024902
Loss in batch 542 is 1.1602944135665894
Loss in batch 543 is 0.9471592307090759
Loss in batch 544 is 1.202683925628662
Loss in batch 545 is 1.2077096700668335
Loss in batch 546 is 1.1927452087402344
Loss in batch 547 is 1.0156663656234741
Loss in batch 548 is 0.9443976879119873
Loss in batch 549 is 1.2215232849121094
Loss in batch 550 is 0.8471918702125549
Loss in batch 551 is 1.109190583229065
Loss in batch 552 is 1.2497241497039795
Loss in batch 553 is 1.0442157983779907
Loss in batch 554 is 1.3405311107635498
Loss in batch 555 is 1.0823510885238647
Loss in batch 556 is 1.157766342163086
Loss in batch 557 is 1.2770010232925415
Loss in batch 558 is 1.1695516109466553
Loss in batch 559 is 1.0105435848236084
Loss in batch 560 is 0.8438116312026978
Loss in batch 561 is 1.0582436323165894
Loss in batch 562 is 1.2269691228866577
Loss in batch 563 is 1.0619488954544067
Loss in batch 564 is 0.9454380869865417
Loss in batch 565 is 0.9827410578727722
Loss in batch 566 is 1.2097164392471313
Loss in batch 567 is 1.3487190008163452
Loss in batch 568 is 1.033594012260437
Loss in batch 569 is 1.1067880392074585
Loss in batch 570 is 1.2187588214874268
Loss in batch 571 is 1.2884904146194458
Loss in batch 572 is 1.0293406248092651
Loss in batch 573 is 0.9850059151649475
Loss in batch 574 is 0.9855299592018127
Loss in batch 575 is 1.0589011907577515
Loss in batch 576 is 1.1766088008880615
Loss in batch 577 is 0.9341270923614502
Loss in batch 578 is 1.0810428857803345
Loss in batch 579 is 0.9589989185333252
Loss in batch 580 is 0.9074599742889404
Loss in batch 581 is 0.9382855296134949
Loss in batch 582 is 1.1883955001831055
Loss in batch 583 is 0.9987556338310242
Loss in batch 584 is 0.9379489421844482
Loss in batch 585 is 1.0346126556396484
Loss in batch 586 is 0.9679697751998901
Loss in batch 587 is 1.033023715019226
Loss in batch 588 is 0.8357327580451965
Loss in batch 589 is 0.9079521894454956
Loss in batch 590 is 1.108015537261963
Loss in batch 591 is 1.2698297500610352
Loss in batch 592 is 1.1569486856460571
Loss in batch 593 is 1.0357507467269897
Loss in batch 594 is 0.8309281468391418
Loss in batch 595 is 1.2030199766159058
Loss in batch 596 is 0.8566305637359619
Loss in batch 597 is 1.140342354774475
Loss in batch 598 is 1.093836784362793
Loss in batch 599 is 0.8811944723129272
Loss in batch 600 is 0.994026243686676
Loss in batch 601 is 0.9454331398010254
Loss in batch 602 is 0.9962275624275208
Loss in batch 603 is 1.018072247505188
Loss in batch 604 is 1.56935715675354
Loss in batch 605 is 0.9294044971466064
Loss in batch 606 is 0.9762017130851746
Loss in batch 607 is 1.1111599206924438
Loss in batch 608 is 1.0699137449264526
Loss in batch 609 is 0.9537071585655212
Loss in batch 610 is 0.893868088722229
Loss in batch 611 is 0.9817990660667419
Loss in batch 612 is 1.097480058670044
Loss in batch 613 is 0.9773657917976379
Loss in batch 614 is 1.1985697746276855
Loss in batch 615 is 1.1867467164993286
Loss in batch 616 is 0.9731169939041138
Loss in batch 617 is 1.0404473543167114
Loss in batch 618 is 1.102168083190918
Loss in batch 619 is 1.2346874475479126
Loss in batch 620 is 1.377251386642456
Loss in batch 621 is 1.0271135568618774
Loss in batch 622 is 1.078121304512024
Loss in batch 623 is 0.8297985792160034
Loss in batch 624 is 0.8220541477203369
Loss in batch 625 is 0.99997478723526
Loss in batch 626 is 1.049150824546814
Loss in batch 627 is 1.134984016418457
Loss in batch 628 is 1.257898211479187
Loss in batch 629 is 1.0316014289855957
Loss in batch 630 is 1.148945927619934
Loss in batch 631 is 1.0576143264770508
Loss in batch 632 is 1.0807690620422363
Loss in batch 633 is 1.1701782941818237
Loss in batch 634 is 1.17391037940979
Loss in batch 635 is 1.2507069110870361
Loss in batch 636 is 1.2379512786865234
Loss in batch 637 is 0.9956440329551697
Loss in batch 638 is 1.0644524097442627
Loss in batch 639 is 0.923269510269165
Loss in batch 640 is 1.0755873918533325
Loss in batch 641 is 1.0244112014770508
Loss in batch 642 is 0.8907408714294434
Loss in batch 643 is 0.9679998159408569
Loss in batch 644 is 1.163128137588501
Loss in batch 645 is 1.2382655143737793
Loss in batch 646 is 1.1696733236312866
Loss in batch 647 is 1.1778391599655151
Loss in batch 648 is 1.0060840845108032
Loss in batch 649 is 1.2570208311080933
Loss in batch 650 is 1.2067970037460327
Loss in batch 651 is 1.5202727317810059
Loss in batch 652 is 1.357547640800476
Loss in batch 653 is 0.9814912676811218
Loss in batch 654 is 1.2113415002822876
Loss in batch 655 is 1.2170257568359375
Loss in batch 656 is 0.9487420320510864
Loss in batch 657 is 1.23932945728302
Loss in batch 658 is 1.078016757965088
Loss in batch 659 is 0.9297892451286316
Loss in batch 660 is 0.9182676076889038
Loss in batch 661 is 1.1367168426513672
Loss in batch 662 is 0.9941151738166809
Loss in batch 663 is 1.2368472814559937
Loss in batch 664 is 0.9588886499404907
Loss in batch 665 is 1.0204589366912842
Loss in batch 666 is 0.8997979760169983
Loss in batch 667 is 0.9160246253013611
Loss in batch 668 is 1.0349392890930176
Loss in batch 669 is 1.160309076309204
Loss in batch 670 is 0.859022319316864
Loss in batch 671 is 1.4349387884140015
Loss in batch 672 is 0.924004077911377
Loss in batch 673 is 0.9945871233940125
Loss in batch 674 is 1.059869408607483
Loss in batch 675 is 1.2165526151657104
Loss in batch 676 is 1.1395697593688965
Loss in batch 677 is 0.8010050058364868
Loss in batch 678 is 1.0829702615737915
Loss in batch 679 is 0.917411208152771
Loss in batch 680 is 1.4438514709472656
Loss in batch 681 is 0.9923696517944336
Loss in batch 682 is 1.111128568649292
